Year,Round,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,college_id,branch_id
2024,5,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),18825,18825,67d46f0d7ee10606e96d055e,67d46d44e89b5e36d438ab46
2024,5,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1846,1978,67d46f0d7ee10606e96d055e,67d46d44e89b5e36d438ab46
2024,5,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3136,4378,67d46f0d7ee10606e96d055e,67d46d44e89b5e36d438ab46
2024,5,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),9267,9267,67d46f0d7ee10606e96d055e,67d46d44e89b5e36d438ab46
2024,5,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2045,2226,67d46f0d7ee10606e96d055e,67d46d44e89b5e36d438ab46
2024,5,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4555,4555,67d46f0d7ee10606e96d055e,67d46d44e89b5e36d438ab46
2024,5,Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1333,1333,67d46f0d7ee10606e96d055e,67d46d44e89b5e36d438ab46
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,7881,10233,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),16104,19505,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,172,172,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1400,1639,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
